PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:32:39.89,1,1,"Crossland, Cade",827265,Left,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.60775,-4.067352,3.132995,2341.449917,140.962584,10:45,5.92125,-1.55828,5.44611,-12.0241,18.6956,-14.31725,1.09901,0.18485,87.98213,-6.364725,0.589046,0.398914,,,,,,,,,,,,8.13563,10.90178,1.29164,50,5.55304,-6.96273,-139.71344,-10.32567,16.03655,32.28521,-10.68495,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,0ed40680-32ae-11f0-9059-5179bdcee543,94.48754,,,8.62562,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:32:39.89,2025-05-16T18:32:39.8932992-05:00,2025-05-16T23:32:39.8932992Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,197d4f9c-aa93-4548-8c2d-29eb20503078,55.05322,-140.87631,16.1426,5.91803,-9.94081,-5.34248,1.55283,-7.54034,8.01827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,18:32:57.61,1,2,"Crossland, Cade",827265,Left,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.64083,-2.419372,4.371814,2434.445887,130.187412,10:15,5.84217,-1.59864,5.27301,-17.69032,13.9743,-15.24044,2.08751,1.24569,86.69305,-5.729161,1.677776,0.405003,,,,,,,,,,,,8.9317,8.02965,1.21029,50,5.60783,-9.82373,-138.23625,-6.50452,17.16863,32.72105,-16.73935,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,19534030-32ae-11f0-9059-5179bdcee543,93.067,,,8.94778,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:32:57.61,2025-05-16T18:32:57.6119808-05:00,2025-05-16T23:32:57.6119808Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,503bc2b8-fa6c-45b4-b1a3-e938149e321a,55.22532,-139.46762,16.36053,5.84075,-5.87458,-8.36968,1.59214,-10.46982,8.58431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:33:18.33,1,3,"Crossland, Cade",827265,Left,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.63808,-1.865985,2.014297,2360.453622,126.997791,10:15,5.74004,-1.56473,5.13046,-18.81812,12.89398,-15.66198,2.41283,-0.97211,86.7088,-5.368551,-0.756984,0.405307,,,,,,,,,,,,8.34874,7.28658,1.38817,50,5.55069,-4.08027,-138.52881,-5.23234,16.10326,33.08491,-18.1195,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,25a16d80-32ae-11f0-9059-5179bdcee543,92.99733,,,8.92928,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:33:18.33,2025-05-16T18:33:18.3311360-05:00,2025-05-16T23:33:18.3311360Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,97f98478-e192-4985-a492-daa68200d700,55.36646,-139.80461,16.54246,5.73898,-4.53363,-9.05975,1.55749,-4.70124,8.05163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,18:33:38.34,1,4,"Crossland, Cade",827265,Left,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.30668,-1.518586,2.190235,2394.952886,137.556027,10:30,5.84396,-1.63851,5.18075,-13.39493,18.40233,-15.84446,3.2975,-0.8971,86.44606,-4.069952,-0.614177,0.405851,87.83543,51.407633,83.640491,3840.004588,,,,,65.27927,,,8.54579,9.93504,1.44747,50,5.69313,-4.50093,-138.12055,-4.10691,16.41667,32.36266,-13.08863,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,31a3c4c0-32ae-11f0-9059-5179bdcee543,92.87267,76.69188,,8.86062,,,,0.77198,3.67889,0.43924,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:33:38.34,2025-05-16T18:33:38.3425024-05:00,2025-05-16T23:33:38.3425024Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,3deb14c0-6e21-434e-8ec4-03ba7d99358b,55.31753,-139.36092,16.18133,5.84092,-3.60526,-6.54432,1.63204,-5.13013,8.20833,,0.77198,8.90097,-10.26455,3.33326,-0.89655,0.22526,-0.05532,0.01152,-0.00144,3.67889,100.69015,-25.97974,2.977,-0.56801,0.10006,-0.01867,0.00331,-0.00035,0.43924,79.86344,-13.09534,3.05524,-0.65222,0.13982,-0.03115,0.00602,-0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
5,2025-05-16,18:34:03.22,1,5,"Crossland, Cade",827265,Left,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.9643,-0.42583,2.214597,2271.948192,110.773576,9:45,5.63025,-2.02167,5.44534,-29.76116,8.86386,-19.99662,2.75115,-1.61354,78.31471,-5.924153,-1.345057,0.447307,84.30971,-4.331148,25.685259,2917.572717,,,,26.96611,26.96611,26.883525,0.212353,10.75709,4.95599,1.84037,50,5.57224,-3.96857,-124.71466,-1.96987,16.85514,26.28494,-24.40855,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,40882d50-32ae-11f0-9059-5179bdcee543,84.26525,2.67505,,7.64959,,,,0.9755,2.67505,1.55776,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:34:03.22,2025-05-16T18:34:03.2280064-05:00,2025-05-16T23:34:03.2280064Z,GroundBall,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,a1d072a4-6ecc-47fc-84be-cd5860eac667,55.05439,-125.77542,13.14247,5.63186,-0.98484,-12.20427,2.01425,-4.64878,8.42757,86.884197,0.97601,111.08533,-11.3991,,,,,,,2.67569,-9.37808,-15.19346,,,,,,,1.55917,53.35385,-15.45481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,18:34:42.56,2,1,"Crossland, Cade",827265,Left,OKL_SOO,"Belyeu, Max",803284,Left,TEX_LON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.60591,-4.108116,4.311024,2460.551936,137.650391,10:30,5.77708,-1.75966,5.38742,-12.99761,19.22907,-16.51166,0.82591,0.91268,86.00456,-6.588313,1.386156,0.408582,,,,,,,,,,,,9.56056,11.18335,1.38595,50,5.39971,-9.51495,-136.60101,-10.24447,17.99744,31.13632,-11.12172,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,57f38200-32ae-11f0-9059-5179bdcee543,92.25187,,,8.60135,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:34:42.56,2025-05-16T18:34:42.5627136-05:00,2025-05-16T23:34:42.5627136Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,8eaf8390-3d0c-4c19-8338-526f7f682e5d,55.1117,-137.76122,15.56816,5.77373,-9.83005,-5.56086,1.753,-10.18558,8.99872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:35:02.45,2,2,"Crossland, Cade",827265,Left,OKL_SOO,"Belyeu, Max",803284,Left,TEX_LON,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.2447,-1.610128,3.344871,2425.344347,137.831645,10:30,5.769,-1.67674,5.31317,-13.43516,19.05993,-16.23544,3.13518,0.11331,85.22403,-4.184824,0.468331,0.41028,,,,,,,,,,,,9.08686,10.33213,1.38529,50,5.61353,-7.17933,-136.42064,-4.25667,16.99298,32.16051,-12.8523,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,63d9ecd0-32ae-11f0-9059-5179bdcee543,91.87004,,,9.02067,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:35:02.45,2025-05-16T18:35:02.4599552-05:00,2025-05-16T23:35:02.4599552Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,fa0cde43-afe4-498f-ac50-7dba6b5ea7ab,55.18386,-137.63728,16.08025,5.76537,-3.77047,-6.42615,1.66904,-7.82218,8.49649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:35:45.37,2,3,"Crossland, Cade",827265,Left,OKL_SOO,"Belyeu, Max",803284,Left,TEX_LON,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.57325,-0.896293,1.788359,2182.724271,335.124105,5:15,5.35828,-1.74966,5.68598,-54.44794,-10.47256,5.55847,-0.01494,0.38097,73.63161,-10.795577,2.785608,0.477283,,,,,,,,,,,,-2.29579,-4.84335,1.59541,50,5.24789,-3.8581,-116.91506,-3.655,-3.12272,25.60012,-38.76192,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,7d6c6740-32ae-11f0-9059-5179bdcee543,78.97289,,,6.94164,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:35:45.37,2025-05-16T18:35:45.3735424-05:00,2025-05-16T23:35:45.3735424Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,6f94df90-0f23-4fe4-aeb3-6bb86eda0605,54.81635,-117.96495,12.80006,5.36519,-2.06533,-19.38096,1.75101,-3.73003,-1.56136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,18:36:12.12,2,4,"Crossland, Cade",827265,Left,OKL_SOO,"Belyeu, Max",803284,Left,TEX_LON,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.4805,-2.808479,4.436655,2430.206503,134.769169,10:30,5.72463,-1.62372,5.35566,-13.33064,18.32942,-17.36733,1.9698,1.09822,86.54332,-5.354355,1.362834,0.404974,,,,,,,,,,,,9.95709,10.31363,1.23674,50,5.46209,-9.85083,-137.97485,-7.20987,19.09585,32.16884,-12.39444,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,8d4bd1a0-32ae-11f0-9059-5179bdcee543,93.07372,,,8.93719,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:36:12.12,2025-05-16T18:36:12.1257472-05:00,2025-05-16T23:36:12.1257472Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,6e8bc1a9-743c-4f95-9e95-342e3922871c,55.14197,-139.16854,16.08442,5.72109,-6.74995,-6.19722,1.61542,-10.55942,9.54792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:36:55.95,2,5,"Crossland, Cade",827265,Left,OKL_SOO,"Belyeu, Max",803284,Left,TEX_LON,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,84.74183,0.626539,4.120273,2271.653049,98.951525,9:15,5.4237,-2.0273,5.78889,-34.8149,4.57709,-20.65899,3.10685,0.09075,76.99874,-5.818997,0.429216,0.451726,,,,,,,,,,,,11.70902,2.54945,1.69989,50,5.45464,-7.99187,-122.77417,0.16918,17.76968,25.60709,-28.30495,OKL_SOO,TEX_LON,UofOklahoma,D1,SEC,20250516-UofOklahoma-1,a7792c80-32ae-11f0-9059-5179bdcee543,83.44089,,,7.74309,,,,,,,d238a552-25ed-4bab-b274-4f8fb380bc77,2025-05-16,23:36:55.95,2025-05-16T18:36:55.9500288-05:00,2025-05-16T23:36:55.9500288Z,,v3,4244,471466,16 May 2025 19:30-texas@oklahoma,"Carmichael, Easton",702695,Right,OKL_SOO,f6c2f3fb-8d1c-4e82-bfb8-fe3238806bc9,54.71055,-123.75276,12.80354,5.4275,1.25086,-14.15248,2.01828,-8.67094,8.88484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
