PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,17:05:53.41,1,1,"Daniel, Colin",824763,Right,UAB_BLA,"Lipsey, Marshall",702587,Right,FAU_OWL,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.77506,-0.864523,-3.303787,2233.881328,251.38465,2:30,5.04851,2.26733,5.48143,-28.66592,6.05252,14.48997,1.84937,0.38012,82.52083,-6.150466,-0.726135,0.424084,99.20136,-7.585293,14.461609,,,,,14.45268,12.13698,11.800684,0.091944,-8.3193,3.63898,-1.98747,50,4.95311,6.94231,-131.53667,-3.05653,-14.47798,29.64189,-25.8412,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,efba8ff0-32a1-11f0-b38c-31b38eccdabc,88.87972,1.76763,,8.25423,,,,1.294,1.76763,-0.3592,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:05:53.41,2025-05-16T17:05:53.4158848-05:00,2025-05-16T22:05:53.4158848Z,GroundBall,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,777cd4c3-9ae1-4e3a-94f3-7d433ba041f9,55.01952,-132.663,14.82095,5.0506,-2.07462,-12.9206,-2.26171,7.49244,-7.23899,180,1.29191,139.79342,,,,,,,,1.76792,-19.22505,,,,,,,,-0.35974,36.05312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2025-05-16,17:06:24.26,2,1,"Daniel, Colin",824763,Right,UAB_BLA,"Martinez, John",806554,Right,FAU_OWL,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.94166,-0.586756,-3.769296,2285.223609,258.855993,2:45,4.96066,2.36511,5.70344,-31.03482,3.9387,14.20371,1.82648,0.03144,82.05719,-6.30975,-1.233808,0.425639,,,,,,,,,,,,-8.3341,2.49366,-2.0577,50,4.89197,7.97568,-130.37289,-2.46292,-14.29768,28.23692,-27.89603,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,0220a530-32a2-11f0-b38c-31b38eccdabc,88.55498,,,7.88447,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:06:24.26,2025-05-16T17:06:24.2600448-05:00,2025-05-16T22:06:24.2600448Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,1416d618-5a04-4fa4-8efc-84663939ecfa,54.79818,-131.40801,14.11846,4.96351,-1.44031,-13.94802,-2.35969,8.4998,-7.14884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,17:06:41.57,2,2,"Daniel, Colin",824763,Right,UAB_BLA,"Martinez, John",806554,Right,FAU_OWL,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.52702,-0.297385,-2.739126,2647.212332,44.840541,7:30,4.85515,2.21679,5.08197,-50.19869,-6.78492,-8.06563,0.39127,-1.03935,75.21965,-9.321885,-4.165311,0.474226,,,,,,,,,,,,3.2841,-3.01484,-1.95038,50,4.78668,5.98897,-118.25669,-2.47182,4.64221,22.93052,-36.43563,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,0c6dd260-32a2-11f0-b38c-31b38eccdabc,79.48205,,,6.30737,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:06:41.57,2025-05-16T17:06:41.5795200-05:00,2025-05-16T22:06:41.5795200Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,cf4a48cb-f25a-4844-8c7e-590b8d3406ee,55.422,-119.30341,11.46526,4.86155,-0.80864,-18.21782,-2.21892,5.77706,2.32111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,17:06:59.23,2,3,"Daniel, Colin",824763,Right,UAB_BLA,"Martinez, John",806554,Right,FAU_OWL,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.86508,0.912698,-3.752815,2576.47477,72.085958,8:30,4.8284,2.38128,4.96954,-43.2405,-1.26114,-7.59737,2.0891,-1.80187,76.60939,-6.874263,-5.087815,0.466326,,,,,,,,,,,,2.81914,-0.54193,-2.01135,50,4.88097,8.20218,-120.10828,0.27962,4.14714,21.73016,-32.97126,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,16fa5280-32a2-11f0-b38c-31b38eccdabc,80.82859,,,6.25569,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:06:59.23,2025-05-16T17:06:59.2310000-05:00,2025-05-16T22:06:59.2310000Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,f1086f4b-ef1d-4876-b6e4-b871970c2a73,55.53349,-121.10527,10.86508,4.83344,1.79236,-16.48563,-2.3833,8.0119,2.07357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.56426,2.884207,1.950515,0.933691,0.75097,2.00792,1.86123,1.58962,5.76808,-0.45627,68.43298,7.09196,-56.35183,1.65366,77.24703,-6.10691,5.78363,12.38961,-11.76091,-0.60718,-69.42665,10.35707,High,High,High,,,High,High,High
5,2025-05-16,17:07:33.33,3,1,"Daniel, Colin",824763,Right,UAB_BLA,"Schroeder, John",1000093819,Left,FAU_OWL,Undefined,1,Top,2,0,0,Sinker,Sinker,InPlay,Undefined,Popup,Out,1,0,,90.51229,-0.520213,-3.954316,2277.032737,252.429194,2:30,4.96602,2.50094,5.75347,-29.62809,5.28347,12.66536,2.01157,-0.13065,81.54782,-6.023117,-1.692831,0.425261,88.06705,48.364896,-6.545784,4601.165397,107.79649,115.55222,-21.90697,232.06042,225.61665,-15.019792,5.760884,-7.79587,3.19339,-2.18035,50,4.90472,8.50978,-131.01469,-2.2456,-13.32619,31.94746,-26.71526,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,2b407260-32a2-11f0-b38c-31b38eccdabc,88.63358,125.61453,,8.96447,,,,2.84667,3.5465,-0.44592,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:07:33.33,2025-05-16T17:07:33.3328896-05:00,2025-05-16T22:07:33.3328896Z,FlyBall,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,a5880ae7-71fe-4176-9449-df992d807164,54.747,-132.16716,15.97373,4.96835,-1.28188,-13.35763,-2.49601,8.99051,-6.66309,167.837902,2.85166,85.15132,-25.39169,7.08469,-1.32684,0.14267,-0.00393,-0.0006,4E-05,3.54529,96.55085,-22.06256,1.04886,0.28593,-0.19036,0.05083,-0.00666,0.00034,-0.44585,-9.78856,-2.01551,1.0619,-0.29084,0.04517,-0.00248,-0.00021,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-05-16,17:10:39.10,1,1,"Murphy, Tyler",804805,Right,FAU_OWL,"Braunschweig, Logan",824742,Left,UAB_BLA,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.70577,-2.59269,-3.753412,2157.97233,231.434279,1:45,5.42844,2.47944,5.50602,-21.67415,11.50312,13.06804,1.19058,0.05304,84.70289,-6.611816,-1.429774,0.414564,,,,,,,,,,,,-7.69162,6.86,-2.16051,50,5.187,8.21343,-134.21907,-6.87264,-14.01481,29.36088,-19.67448,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,99fd7220-32a2-11f0-b38c-31b38eccdabc,90.92065,,,8.00289,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:10:39.10,2025-05-16T17:10:39.1069696-05:00,2025-05-16T22:10:39.1069696Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Garcia, Ayden",814503,Right,FAU_OWL,8d37417d-e1ec-46b2-ab8c-a3dae4358b06,54.99533,-135.3074,14.68044,5.42823,-6.14336,-9.83724,-2.47458,8.73293,-7.00741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,17:10:51.64,1,2,"Murphy, Tyler",804805,Right,FAU_OWL,"Braunschweig, Logan",824742,Left,UAB_BLA,Undefined,1,Bottom,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.47712,-0.496377,-1.971718,2345.266931,320.893935,4:45,5.16352,2.49822,5.16999,-41.77487,-0.85965,1.66142,1.21484,0.78033,77.26502,-8.04969,-1.67722,0.460377,,,,,,,,,,,,-1.33709,0.05547,-2.31576,50,5.08509,4.10237,-121.21574,-2.61369,-2.00405,22.05879,-32.0909,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,a1672e70-32a2-11f0-b38c-31b38eccdabc,81.87292,,,6.2121,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:10:51.64,2025-05-16T17:10:51.6425728-05:00,2025-05-16T22:10:51.6425728Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Garcia, Ayden",814503,Right,FAU_OWL,09b266d0-236a-4bdc-88f6-47b61d62425d,55.33221,-122.18224,11.02939,5.16881,-1.20763,-16.04545,-2.49743,4.19017,-1.00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,17:11:04.77,1,3,"Murphy, Tyler",804805,Right,FAU_OWL,"Braunschweig, Logan",824742,Left,UAB_BLA,Undefined,1,Bottom,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.17453,0.954887,-1.155398,2353.805518,25.031363,6:45,5.28468,2.46743,5.53907,-42.20113,-1.37831,-1.22299,2.66069,1.28546,76.40956,-6.760763,-1.373599,0.459857,,,,,,,,,,,,0.30071,-0.53976,-2.36639,50,5.33957,2.48711,-120.7975,0.5086,0.44522,23.08371,-32.97323,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,a93db650-32a2-11f0-b38c-31b38eccdabc,81.96552,,,6.76497,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:11:04.77,2025-05-16T17:11:04.7796224-05:00,2025-05-16T22:11:04.7796224Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Garcia, Ayden",814503,Right,FAU_OWL,a7f7194a-af28-4c92-84f6-e861b0a20ab0,54.96177,-121.74198,11.54185,5.29116,1.85771,-16.48661,-2.46778,2.46889,0.22261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,17:11:17.73,1,4,"Murphy, Tyler",804805,Right,FAU_OWL,"Braunschweig, Logan",824742,Left,UAB_BLA,Undefined,1,Bottom,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.16569,-1.272393,-2.782967,2247.296377,229.759524,1:45,5.45117,2.45856,5.12854,-19.96218,13.23698,14.37481,2.58766,1.0333,84.99824,-4.975614,-0.242152,0.414701,,,,,,,,,,,,-7.8989,7.25453,-2.20862,50,5.31646,5.86203,-135.02193,-3.75211,-14.5838,29.36237,-18.77991,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,b0ee1890-32a2-11f0-b38c-31b38eccdabc,90.89065,,,8.16745,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:11:17.73,2025-05-16T17:11:17.7347584-05:00,2025-05-16T22:11:17.7347584Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Garcia, Ayden",814503,Right,FAU_OWL,9a7ca8f1-7ae5-4c5c-b534-2399f4a3b755,55.37124,-136.18497,14.68118,5.45035,-3.00824,-9.38995,-2.45225,6.4397,-7.2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,17:11:33.56,1,5,"Murphy, Tyler",804805,Right,FAU_OWL,"Braunschweig, Logan",824742,Left,UAB_BLA,Undefined,1,Bottom,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,93.49561,-2.159565,-4.639744,2200.780258,231.22504,1:45,5.45682,2.29164,5.40277,-20.35812,12.41906,14.12698,1.72908,-0.88831,85.33178,-5.941089,-2.138025,0.412057,,,,,,,,,,,,-8.39591,7.16209,-1.88759,50,5.24963,10.31239,-135.22932,-5.85813,-15.5478,29.47615,-18.91107,UAB_BLA,FAU_OWL,YoungMemorialField,D1,AMER,20250516-YoungMemorialField-1,ba75f9f0-32a2-11f0-b38c-31b38eccdabc,91.47384,,,8.16384,,,,,,,93fa6cfe-cc9e-4f67-9e83-d64e4ea5f1c9,2025-05-16,22:11:33.56,2025-05-16T17:11:33.5649792-05:00,2025-05-16T22:11:33.5649792Z,,v3,471227,339,16 May 2025 18:00-flatlantic@uab,"Garcia, Ayden",814503,Right,FAU_OWL,f384f19a-1a9d-4e38-aae5-c829a0aea1ce,55.09792,-136.33599,14.73807,5.45624,-5.14812,-9.45554,-2.28572,10.89613,-7.7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
