PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,13:05:17.92,1,1,"Tims, Justin",831227,Right,WAS_HUS,"Covarrubias, Abbrie",805952,Right,SOU_TRO,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.89092,-0.733346,-3.07199,2151.599284,230.589514,1:45,5.47292,1.20883,6.36357,-26.09836,14.00501,15.44084,2.6222,-0.33411,75.60232,-5.669448,-0.279477,0.455787,,,,,,,,,,,,-8.8778,7.9041,-0.99303,50,5.40759,5.87633,-120.31441,-2.25994,-12.97001,24.06481,-20.62659,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,417dc4c0-335a-11f0-88ba-bb37f35a30cd,82.6975,,,7.28861,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:05:17.92,2025-05-17T13:05:17.9205120-07:00,2025-05-17T20:05:17.9205120Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,5ffa6467-2084-4b62-b896-21d27b50faf5,54.13341,-121.13834,12.03241,5.47287,-1.55373,-10.3133,-1.20182,6.32039,-6.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-17,13:05:33.71,1,2,"Tims, Justin",831227,Right,WAS_HUS,"Covarrubias, Abbrie",805952,Right,SOU_TRO,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.14438,-0.205448,-3.116917,2458.052571,38.156072,7:15,5.34067,1.51307,5.83608,-44.38794,-1.88118,-2.48634,1.45044,-1.59399,74.84924,-8.326882,-3.562313,0.469246,,,,,,,,,,,,0.41602,-0.51331,-1.2573,50,5.29774,6.509,-117.78361,-1.89029,0.58512,22.12524,-32.89597,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,4ae85a20-335a-11f0-88ba-bb37f35a30cd,80.32558,,,6.29514,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:05:33.71,2025-05-17T13:05:33.7188352-07:00,2025-05-17T20:05:33.7188352Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,13d174a0-994c-47b0-a3b9-a894ba07aa2b,54.6635,-118.65639,11.06262,5.34672,-0.59262,-16.44799,-1.51361,6.48591,0.29256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-17,13:05:50.92,1,3,"Tims, Justin",831227,Right,WAS_HUS,"Covarrubias, Abbrie",805952,Right,SOU_TRO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,82.62345,-0.482148,-2.590445,2101.179165,238.147066,2:00,5.48728,1.17362,6.41325,-28.77651,11.58473,16.47123,2.6455,0.16302,75.21245,-5.914267,0.393667,0.45725,102.79518,33.130788,-12.637474,3676.713598,107.13063,73.45236,-24.96023,360.93762,357.1253,-13.988763,6.014262,-9.40737,6.59024,-0.99569,50,5.43968,4.83284,-119.9914,-1.81208,-13.61669,24.77819,-22.63504,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,55177800-335a-11f0-88ba-bb37f35a30cd,82.43289,117.5814,,7.411,,,,1.85881,2.6277,-0.10044,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:05:50.92,2025-05-17T13:05:50.9211136-07:00,2025-05-17T20:05:50.9211136Z,FlyBall,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,a9997fe2-cbd5-44d4-9141-802d48f22605,54.08534,-120.83208,12.3891,5.48813,-1.04412,-11.31752,-1.1675,5.29483,-6.80834,175.388998,1.86786,123.03867,-29.66047,7.0476,-1.245,0.15969,-0.0149,0.00103,-4E-05,2.62357,82.46268,-15.70133,0.12871,0.2254,-0.10757,0.02595,-0.00306,0.00014,-0.10185,-27.59953,5.02577,-0.91994,0.10999,-0.0053,-0.00017,-1E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-17,13:06:34.93,2,1,"Tims, Justin",831227,Right,WAS_HUS,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.15442,-2.711591,-3.767121,2246.952891,223.05046,1:30,5.67782,1.04955,6.15738,-16.82525,17.65304,15.35426,1.76335,-1.15616,81.68154,-5.93776,-1.004455,0.422615,,,,,,,,,,,,-9.02292,10.28465,-0.77059,50,5.46266,7.94348,-130.51566,-6.65337,-15.42595,29.73834,-14.59094,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,6f53c700-335a-11f0-88ba-bb37f35a30cd,89.1887,,,8.47289,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:06:34.93,2025-05-17T13:06:34.9360128-07:00,2025-05-17T20:06:34.9360128Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,4af98021-207e-4db1-a8a2-5bfa1a0b3265,54.33889,-131.50057,14.86917,5.67501,-6.17013,-7.29547,-1.04213,8.45438,-7.71297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-17,13:06:49.76,2,2,"Tims, Justin",831227,Right,WAS_HUS,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.45401,-0.682562,-2.349617,2304.448002,231.790957,1:45,5.5945,1.17176,6.02631,-19.54844,13.81717,16.15804,3.33277,0.341,83.19421,-4.38412,0.556002,0.415739,,,,,,,,,,,,-8.95182,7.62725,-0.9964,50,5.53046,4.74718,-132.75429,-2.19118,-15.90809,29.53495,-18.61977,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,782fb0f0-335a-11f0-88ba-bb37f35a30cd,90.66363,,,8.25979,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:06:49.76,2025-05-17T13:06:49.7674752-07:00,2025-05-17T20:06:49.7674752Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,4813a2de-9d12-4348-9f64-503cf9624fb4,54.47104,-133.7453,14.76748,5.5935,-1.56642,-9.30988,-1.16464,5.28096,-7.95405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-17,13:07:06.03,2,3,"Tims, Justin",831227,Right,WAS_HUS,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.92605,-1.630846,-3.527988,2164.415688,237.909737,2:00,5.41008,1.36864,6.36804,-27.6684,11.43871,16.21288,1.60049,-0.53072,76.77873,-6.829499,-0.595736,0.45009,,,,,,,,,,,,-9.43091,6.81481,-1.12053,50,5.27916,6.89933,-121.76159,-4.26662,-14.13148,24.3323,-21.96263,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,81ecac10-335a-11f0-88ba-bb37f35a30cd,83.74424,,,7.14732,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:07:06.03,2025-05-17T13:07:06.0348416-07:00,2025-05-17T20:07:06.0348416Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,b7b0a87a-bce5-4826-ac7a-1b0cce504a05,54.13015,-122.58416,12.16615,5.41085,-3.52416,-10.98132,-1.36185,7.37706,-7.06574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-17,13:07:24.58,2,4,"Tims, Justin",831227,Right,WAS_HUS,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.4403,0.399591,-2.976402,2361.760983,70.282715,8:15,5.36595,1.3808,5.88536,-42.87794,0.59559,-2.28528,2.16435,-1.57597,73.54115,-7.497197,-3.385928,0.474552,,,,,,,,,,,,0.28689,0.63142,-1.13925,50,5.37371,6.15439,-116.6778,-0.56944,0.39308,23.19438,-31.3089,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,8d0084a0-335a-11f0-88ba-bb37f35a30cd,79.42738,,,6.89914,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:07:24.58,2025-05-17T13:07:24.5862400-07:00,2025-05-17T20:07:24.5862400Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,e531598c-2e53-44aa-a452-839b1a7f979b,54.61236,-117.59112,11.59719,5.37186,0.6634,-15.65445,-1.38128,6.13891,0.19654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-17,13:07:43.00,2,5,"Tims, Justin",831227,Right,WAS_HUS,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.98715,-1.007179,-1.45332,2223.618397,231.02818,1:45,5.70758,0.95051,6.12363,-19.5197,14.09351,16.03902,3.14948,0.94331,82.72652,-4.711007,1.438309,0.417279,79.05421,15.894658,-24.637752,3588.644499,99.72554,20.85537,-46.41987,216.21366,216.21366,-25.017658,2.476578,-8.75575,7.91788,-0.84769,50,5.62036,2.68887,-132.15607,-2.91702,-15.37896,29.96303,-18.26677,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,97eb0340-335a-11f0-88ba-bb37f35a30cd,90.32914,20.88828,,8.26063,,,,1.42828,3.20333,-0.89135,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:07:43.00,2025-05-17T13:07:43.0062080-07:00,2025-05-17T20:07:43.0062080Z,LineDrive,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,0dde9f2f-b44c-491e-8707-a3c25981a001,54.37502,-133.1443,14.98152,5.70664,-2.31455,-9.13338,-0.94474,3.19609,-7.68948,173.326843,1.4283,101.35961,-12.40019,1.87244,-0.25467,-0.06231,0.06421,-0.02121,0.00267,3.2033,31.75597,-15.2168,1.04393,-0.29414,0.18232,-0.0894,0.0257,-0.00308,-0.89137,-46.48614,5.12044,-0.61529,0.01216,0.09783,-0.0655,0.02031,-0.0025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-17,13:08:25.06,3,1,"Tims, Justin",831227,Right,WAS_HUS,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.7284,-0.517671,-2.289474,1949.989279,239.548986,2:00,5.47847,1.25561,6.12951,-29.45242,11.06505,16.60465,2.54522,0.52199,75.63281,-6.032499,0.703777,0.458134,,,,,,,,,,,,-9.17693,6.26571,-1.08878,50,5.42368,4.16209,-120.14159,-1.96458,-13.3878,23.68342,-23.03328,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,b1076350-335a-11f0-88ba-bb37f35a30cd,82.27383,,,7.09559,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:08:25.06,2025-05-17T13:08:25.0628096-07:00,2025-05-17T20:08:25.0628096Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,ef8376f7-ddb2-41ba-b2bd-f283d6d60b24,54.36802,-120.99958,11.84171,5.47974,-1.13013,-11.51664,-1.24835,4.6471,-6.6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-17,13:08:43.87,3,2,"Tims, Justin",831227,Right,WAS_HUS,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.03466,-2.297975,-3.565399,2218.716663,229.870098,1:45,5.6645,1.14154,6.03769,-20.36237,14.08434,15.368,1.83461,-0.88336,82.20422,-6.134938,-0.804765,0.422421,,,,,,,,,,,,-8.89886,8.23709,-0.87123,50,5.47382,7.48408,-130.49567,-5.87544,-15.32112,27.85862,-17.9923,WAS_HUS,SOU_TRO,UofWashington,D1,BIG10,20250517-UofWashington-1,bc370140-335a-11f0-88ba-bb37f35a30cd,89.22959,,,7.83044,,,,,,,ed43d291-20a6-4b2f-8647-6475475c6e86,2025-05-17,20:08:43.87,2025-05-17T13:08:43.8756864-07:00,2025-05-17T20:08:43.8756864Z,,v3,471486,5047,15 May 2025 22:05-usc@washington,"Bower, Colton",805281,Right,WAS_HUS,72ffbbb0-e26e-4287-bf76-83a123a0abe2,54.4603,-131.44442,13.92931,5.66347,-5.26269,-8.99615,-1.135,8.00586,-7.66056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
