PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-23,10:03:13.71,1,1,"Edwards, Mason",821973,Left,SOU_TRO,"Guerrero, AJ",1000094166,Right,WAS_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.13862,-3.070875,2.672304,2022.959128,156.334478,11:15,6.44176,-1.7249,5.61173,-15.0652,20.09088,-8.26434,2.31419,0.08246,81.74939,-5.949695,1.198814,0.426748,82.57728,79.304174,111.620076,4389.412156,,,,,7.34743,,,5.01666,11.48812,1.50201,50,6.16959,-5.7282,-130.48961,-7.44907,8.57621,29.63884,-12.53455,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,ab472800-37de-11f0-a0b6-57ef168d79b8,88.32475,40.90319,,8.38923,,,,2.16785,2.40673,-0.10208,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:03:13.71,2025-05-23T10:03:13.7117696-04:00,2025-05-23T14:03:13.7117696Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,ee1586e1-af3e-41f4-8226-ad5e27cb1f65,54.88606,-131.59473,14.81942,6.43863,-6.9817,-6.26728,1.72155,-6.04797,4.28811,350.213455,2.1762,-8.59748,-9.07698,,,,,,,2.41456,118.71568,-29.27025,,,,,,,-0.10148,20.8741,-1.97645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2025-05-23,10:03:37.75,1,2,"Edwards, Mason",821973,Left,SOU_TRO,"Guerrero, AJ",1000094166,Right,WAS_HUS,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.76824,-2.547188,4.403188,2020.557359,124.806677,10:15,6.30861,-2.18595,5.68336,-30.51277,12.84383,-16.46528,1.383,0.55433,74.21769,-8.180599,1.467046,0.473914,,,,,,,,,,,,9.56918,7.64559,1.82511,50,6.07434,-8.35926,-116.90101,-6.16974,13.2691,21.61347,-21.57226,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,b9a0dcc0-37de-11f0-a0b6-57ef168d79b8,79.53442,,,6.55055,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:03:37.75,2025-05-23T10:03:37.7533952-04:00,2025-05-23T14:03:37.7533952Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,810a315f-8b97-4f5c-b284-c800f89d9594,54.81556,-117.78798,10.80674,6.30937,-5.28446,-10.78613,2.17932,-8.90379,6.63455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-23,10:03:54.27,1,3,"Edwards, Mason",821973,Left,SOU_TRO,"Guerrero, AJ",1000094166,Right,WAS_HUS,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.76974,-1.0719,2.222806,2094.793273,121.510095,10:00,6.23556,-2.29798,5.38543,-30.7786,11.70615,-16.94469,2.66509,-1.62552,75.15044,-6.73688,-0.790628,0.469124,,,,,,,,,,,,9.06095,6.58142,2.11131,50,6.11819,-3.89962,-118.65693,-3.25307,12.96595,21.91724,-22.7562,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,c36a5b00-37de-11f0-a0b6-57ef168d79b8,80.34636,,,6.61929,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:03:54.27,2025-05-23T10:03:54.2743552-04:00,2025-05-23T14:03:54.2743552Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,a726be15-7517-4603-a4e0-c9a228cfbd73,55.11264,-119.59756,10.95862,6.23684,-2.27643,-11.3781,2.29061,-4.45608,6.48298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-23,10:04:14.02,1,4,"Edwards, Mason",821973,Left,SOU_TRO,"Guerrero, AJ",1000094166,Right,WAS_HUS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.14903,-3.99256,3.268161,2216.919617,156.19792,11:15,6.52086,-1.65062,5.59732,-12.53028,22.31127,-9.3526,1.73701,0.62453,82.71226,-6.391437,1.60286,0.424835,87.27629,39.525322,8.066344,4128.53813,106.81891,79.48659,26.26123,291.72793,288.88696,22.950826,5.152073,5.65382,12.75107,1.37673,50,6.16996,-7.04988,-130.48997,-9.47455,9.78978,26.36815,-10.09508,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,cf3575a0-37de-11f0-a0b6-57ef168d79b8,88.72257,95.46144,,7.43677,,,,1.59405,1.80621,-0.58264,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:04:14.02,2025-05-23T10:04:14.0218368-04:00,2025-05-23T14:04:14.0218368Z,FlyBall,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,198f4886-33e8-4962-823b-437901ec0923,54.90278,-131.47695,13.18408,6.51753,-9.09669,-5.04754,1.64747,-7.41632,4.89489,212.200758,1.59917,97.65377,-21.69405,4.82306,-0.63733,0.00781,0.011,-0.00127,3E-05,1.806,81.46122,-20.24584,1.28309,0.03484,-0.12399,0.04327,-0.00639,0.00035,-0.58456,13.89647,5.64647,-1.72276,0.28842,-0.01625,-0.00264,0.00042,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-23,10:04:51.75,2,1,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.73113,-4.474255,3.95143,2259.474811,143.626906,10:45,6.37053,-1.68872,5.68177,-14.58898,20.70726,-14.38123,0.96567,0.802,82.01114,-7.250624,1.388236,0.427598,,,,,,,,,,,,8.44682,12.14375,1.36487,50,5.98325,-8.3403,-129.6669,-10.59087,14.37892,27.1498,-11.50187,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,e5a182c0-37de-11f0-a0b6-57ef168d79b8,88.14928,,,7.71999,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:04:51.75,2025-05-23T10:04:51.7557760-04:00,2025-05-23T14:04:51.7557760Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,f75a1233-acf0-4a94-b2c9-c8572bd1a615,54.81768,-130.67173,13.5749,6.36735,-10.16518,-5.75094,1.6834,-8.87247,7.18946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-23,10:05:10.80,2,2,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.17299,-2.964632,3.273892,2207.65784,153.248393,11:00,6.4885,-1.73293,5.61719,-14.60245,21.25651,-10.09123,2.49782,0.4849,81.01142,-5.763379,1.476109,0.430993,,,,,,,,,,,,6.05902,11.99119,1.45985,50,6.22577,-6.93637,-129.05008,-7.10024,10.16275,28.20797,-12.06137,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,f1170350-37de-11f0-a0b6-57ef168d79b8,87.45485,,,8.16157,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:05:10.80,2025-05-23T10:05:10.8052992-04:00,2025-05-23T14:05:10.8052992Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,dc838809-35a4-46ae-89ca-1df69b284204,54.87965,-130.11231,14.10399,6.48459,-6.64604,-6.03069,1.72826,-7.31907,5.08137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-23,10:05:31.16,2,3,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.32491,-3.477567,3.867245,2241.876078,153.057298,11:00,6.43592,-1.68865,5.65671,-13.74524,20.3217,-9.75174,2.03596,1.11073,83.30901,-6.104884,2.130619,0.420086,,,,,,,,,,,,6.06205,11.65225,1.36723,50,6.13214,-8.50127,-132.10468,-8.44329,10.69774,28.50616,-11.61121,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,fd339950-37de-11f0-a0b6-57ef168d79b8,89.72557,,,8.0159,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:05:31.16,2025-05-23T10:05:31.1690752-04:00,2025-05-23T14:05:31.1690752Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,2abcde31-2235-43c0-bce9-1eb8e1c6666d,54.842,-133.14541,14.25308,6.43265,-8.01938,-5.8056,1.68473,-8.89183,5.34887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-23,10:05:50.06,2,4,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.05026,-1.687794,4.554773,2079.297746,24.710274,6:45,6.32985,-2.1482,4.97816,-49.0294,-4.31284,-2.68571,0.64456,1.93873,74.19869,-10.481678,4.081708,0.481289,,,,,,,,,,,,2.7598,-1.27433,1.71014,50,6.12595,-9.21877,-117.12053,-5.27511,3.79135,24.38455,-33.92472,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,08740020-37df-11f0-a0b6-57ef168d79b8,78.31567,,,6.85157,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:05:50.06,2025-05-23T10:05:50.0624384-04:00,2025-05-23T14:05:50.0624384Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,8affa86a-2590-4d89-b4ce-264fc5eefece,55.52204,-118.26464,12.19227,6.33612,-3.68339,-16.96236,2.14685,-9.39666,1.89567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-23,10:06:07.38,2,5,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22066,-2.175302,4.493269,2315.016763,151.076091,11:00,6.40581,-1.84633,5.71295,-13.54654,21.31458,-11.13107,3.24319,1.42062,82.05123,-4.786788,2.511786,0.424954,,,,,,,,,,,,6.89508,11.76564,1.47645,50,6.21484,-9.75888,-130.50985,-5.33084,11.86602,28.0349,-11.92624,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,12b26040-37df-11f0-a0b6-57ef168d79b8,88.69764,,,8.16943,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:06:07.38,2025-05-23T10:06:07.3845760-04:00,2025-05-23T14:06:07.3845760Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,fd3f9bfc-92e4-49bf-8025-a1fa0acffc77,54.78364,-131.53341,14.01745,6.40152,-4.8954,-5.96312,1.84066,-10.19211,5.93301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-23,10:06:28.53,2,6,"Edwards, Mason",821973,Left,SOU_TRO,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.47393,-4.691763,2.775163,2202.465735,154.218662,11:15,6.48009,-1.91374,5.69241,-13.11489,22.14604,-10.15414,0.9997,-0.17155,82.20533,-7.192514,0.962269,0.427384,,,,,,,,,,,,5.90685,12.85308,1.68692,50,6.07655,-5.84063,-129.45938,-10.99617,10.07514,25.74872,-10.251,SOU_TRO,WAS_HUS,TDAmeritrade,D1,BIG10,20250523-TDAmeritrade-1,1f54ef20-37df-11f0-a0b6-57ef168d79b8,88.19337,,,7.2686,,,,,,,cb0a0297-8c64-47f4-893e-c684afdfcd39,2025-05-23,14:06:28.53,2025-05-23T10:06:28.5360640-04:00,2025-05-23T14:06:28.5360640Z,,v3,5047,471486,,"Lamb, Andrew",1000154939,Right,SOU_TRO,0025d01b-90da-46f6-be42-6bd2a25df7e8,54.80674,-130.41191,12.87436,6.47631,-10.61696,-5.1255,1.90988,-6.21334,5.03757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
