PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-30,12:06:37.64,1,1,"LaPour, Tommy",815080,Right,TCU_HFG,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.92853,-1.754001,-1.804044,2481.153829,218.211702,1:15,5.97031,1.63673,5.33116,-14.97048,15.55635,11.44505,3.07573,0.89726,88.0977,-4.578857,0.228156,0.39766,,,,,,,,,,,,-6.22311,8.59056,-1.48212,50,5.80134,3.85253,-140.50847,-4.82683,-12.3921,33.00416,-15.06774,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,37a99580-3d89-11f0-bef0-83ac3b96f013,94.7855,,,8.83084,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:06:37.64,2025-05-30T12:06:37.6416256-07:00,2025-05-30T19:06:37.6416256Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,8479beaf-2fd7-4fe6-8681-c5bc11ad0fbc,55.16517,-141.71653,16.50208,5.96792,-4.2753,-7.53387,-1.63144,4.30612,-6.19605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-30,12:06:52.29,1,2,"LaPour, Tommy",815080,Right,TCU_HFG,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.63312,-2.74032,-1.902585,2462.513547,221.450527,1:30,5.8314,1.84242,5.49694,-15.28091,15.13241,12.50414,1.99142,1.10416,88.34515,-5.612572,0.324796,0.396921,87.57567,36.380215,-57.038231,4398.75246,47.85328,63.97031,-99.04557,251.24895,96.42459,-76.237898,4.132583,-6.85465,8.69441,-1.6848,50,5.58146,4.05948,-140.1213,-7.24174,-13.63443,31.5246,-14.88012,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,40639f90-3d89-11f0-bef0-83ac3b96f013,94.96218,69.8114,,8.28797,,,,1.10237,2.00368,-0.84292,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:06:52.29,2025-05-30T12:06:52.2961408-07:00,2025-05-30T19:06:52.2961408Z,FlyBall,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,d4c1e953-df63-452e-a0d2-056c4e0dd60b,55.00177,-141.24212,15.7623,5.82952,-6.71269,-7.44006,-1.83775,4.54423,-6.81721,,1.10345,56.22148,-21.12953,4.69165,-0.62056,-0.02121,0.02743,-0.0049,0.00031,2.00288,76.21665,-26.38827,4.31104,-1.43058,0.43763,-0.09601,0.01251,-0.00071,-0.84307,-86.76094,13.30338,-3.10874,0.69459,-0.13247,0.01733,-0.00106,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-05-30,12:07:13.15,1,3,"LaPour, Tommy",815080,Right,TCU_HFG,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,98.32828,-2.944282,-1.135124,2515.350606,210.295939,1:00,5.89749,1.66491,5.71797,-13.46387,15.6769,8.61201,2.02993,1.32507,89.84593,-5.497659,0.405768,0.388528,,,,,,,,,,,,-4.67937,9.06678,-1.57536,50,5.64292,2.41223,-142.61446,-7.77325,-9.63715,32.80133,-13.50108,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,4cd77d50-3d89-11f0-bef0-83ac3b96f013,97.01354,,,8.48234,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:07:13.15,2025-05-30T12:07:13.1520512-07:00,2025-05-30T19:07:13.1520512Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,1699fa97-61d2-4680-ac12-e247a857b751,54.77932,-143.7095,16.40066,5.8949,-7.32253,-6.75054,-1.66126,2.73396,-4.81857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-30,12:07:30.65,1,4,"LaPour, Tommy",815080,Right,TCU_HFG,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,97.38715,-3.290506,-2.03206,2428.536989,204.660976,12:45,5.84584,1.52146,5.71674,-13.75658,15.81087,6.84674,1.62895,0.1983,89.541,-5.885332,-0.807856,0.391362,101.27142,-8.604676,15.25206,,,,,13.70737,13.1016,11.906653,0.079307,-4.04366,9.20686,-1.35596,50,5.56195,4.69878,-141.26361,-8.58408,-8.21928,30.40063,-13.45998,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,57374820-3d89-11f0-bef0-83ac3b96f013,96.31095,1.76417,,7.84615,,,,2.16453,1.76417,-0.2389,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:07:30.65,2025-05-30T12:07:30.6514944-07:00,2025-05-30T19:07:30.6514944Z,GroundBall,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,51b4e9dd-db4c-41b9-b5b0-d9c547693ebf,54.78305,-142.28923,15.20032,5.84388,-8.12998,-6.72999,-1.51915,4.97607,-4.10964,180,2.16272,141.82822,,,,,,,,1.76445,-22.24485,,,,,,,,-0.23939,38.67229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-30,12:08:10.57,2,1,"LaPour, Tommy",815080,Right,TCU_HFG,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,98.23749,-3.511521,-2.520014,2450.295078,201.365791,12:45,5.91709,1.55757,5.61303,-8.85626,20.65048,7.6863,1.89434,-0.15545,89.26856,-5.252765,-1.149774,0.39096,75.59101,48.625895,123.761084,5861.58031,,,,,39.89138,,,-4.65579,11.81867,-1.34742,50,5.61129,5.89511,-142.23921,-8.9637,-9.49171,34.11394,-8.07944,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,6f273620-3d89-11f0-bef0-83ac3b96f013,96.41001,40.17448,,8.96892,,,,1.8661,1.95702,0.21666,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:08:10.57,2025-05-30T12:08:10.5738240-07:00,2025-05-30T19:08:10.5738240Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,2adbc304-7875-4417-9b97-9cdbdd1130e6,54.88547,-143.40613,17.05697,5.91318,-8.68734,-4.03972,-1.55462,6.21979,-4.74586,,1.8661,-40.72388,-6.06099,3.80633,-1.27484,0.36584,-0.09468,0.02126,-0.00261,1.95702,83.19542,-32.84242,5.0262,-1.06476,0.19504,-0.03331,0.00323,0.00056,0.21666,60.92207,-10.86075,1.89915,-0.29316,0.01905,0.00378,-0.00318,0.00078,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-05-30,12:08:33.93,2,2,"LaPour, Tommy",815080,Right,TCU_HFG,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.25378,0.740831,-0.679828,2259.564416,93.674768,9:00,5.89497,1.49058,5.33336,-37.90746,2.09378,-14.17009,3.43117,-0.32812,77.55174,-6.175013,-3.197297,0.455206,,,,,,,,,,,,6.91319,1.2302,-1.41875,50,5.93463,2.05781,-122.38679,0.19643,10.52712,23.25506,-30.30072,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,7cf72170-3d89-11f0-bef0-83ac3b96f013,82.80299,,,6.70204,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:08:33.93,2025-05-30T12:08:33.9309056-07:00,2025-05-30T19:08:33.9309056Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,f1f3bc7f-0ebf-4fc3-9afc-d803c97c9a2b,55.16595,-123.36448,11.62753,5.8996,1.47033,-15.15036,-1.49596,1.61523,5.26356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-30,12:08:53.62,2,3,"LaPour, Tommy",815080,Right,TCU_HFG,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.69197,0.125646,-0.197989,2416.100129,61.885841,8:00,5.77158,1.63136,5.27303,-45.03495,-5.32575,-12.18477,2.13669,0.42999,78.10262,-8.028886,-2.364098,0.453541,98.07449,14.763299,-44.39646,3573.968135,72.84099,19.34059,-82.42667,220.62264,163.3387,-53.924843,2.070241,6.12166,-2.45169,-1.60371,50,5.74928,0.93408,-123.0683,-1.41674,9.4044,24.03834,-35.94048,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,88b7dbd0-3d89-11f0-bef0-83ac3b96f013,83.10694,19.42072,,6.58935,,,,3.28666,2.65124,-0.62062,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:08:53.62,2025-05-30T12:08:53.6291840-07:00,2025-05-30T19:08:53.6291840Z,LineDrive,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,d5c64bd3-612e-49c4-a576-82a4780902fc,55.22894,-124.08544,12.01917,5.77706,0.10402,-17.97024,-1.63482,0.53615,4.7022,,3.28666,99.3846,-29.1233,8.04764,-2.06646,0.46979,-0.09767,0.01522,-0.00121,2.65124,36.65485,-21.81138,2.15082,-0.26306,0.01038,0.00635,-0.00142,9E-05,-0.62062,-97.3128,4.45383,1.58288,-0.94,0.32666,-0.07963,0.01263,-0.00093,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-05-30,12:09:16.99,2,4,"LaPour, Tommy",815080,Right,TCU_HFG,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,98.38578,-3.370273,-2.565666,2394.442329,199.713839,12:45,6.07203,1.20867,5.75246,-10.6415,18.40399,6.26658,2.04105,-0.6591,90.09612,-5.417378,-1.445549,0.387892,,,,,,,,,,,,-3.87843,10.55634,-0.99952,50,5.78539,6.09248,-142.58567,-8.71072,-8.01022,31.7963,-10.37184,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,97027560-3d89-11f0-bef0-83ac3b96f013,97.17255,,,8.28965,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:09:16.99,2025-05-30T12:09:16.9910784-07:00,2025-05-30T19:09:16.9910784Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,bba9fdd1-63dd-4896-9329-dc02949c3c06,54.74562,-143.64004,15.89815,6.06853,-8.36679,-5.18592,-1.20595,6.3581,-4.00511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-30,12:09:55.68,3,1,"LaPour, Tommy",815080,Right,TCU_HFG,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.04467,-1.074235,-1.462718,2222.104345,66.176097,8:15,5.84114,1.43991,5.52343,-44.73636,-4.25906,-12.69583,1.10836,-0.98587,76.87985,-9.209859,-3.730004,0.457907,,,,,,,,,,,,5.98548,-1.44606,-1.30392,50,5.71773,3.63768,-121.93567,-3.89878,8.91159,26.46034,-34.32705,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,adaff850-3d89-11f0-bef0-83ac3b96f013,82.31463,,,7.16482,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,2025-05-30,19:09:55.68,2025-05-30T12:09:55.6859904-07:00,2025-05-30T19:09:55.6859904Z,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,0a471df4-b25c-4f70-aae4-1b029752140a,54.97606,-123.01075,13.23017,5.8478,-2.50408,-17.16353,-1.44436,3.2756,4.4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,,,3,2,"LaPour, Tommy",815080,Right,TCU_HFG,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,1,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCU_HFG,SOU_TRO,GossStadium,D1,PAC12,20250530-GossStadium-1,afd4fb30-3d89-11f0-bef0-83ac3b96f013,,,,,,,,,,,807ee0e0-4d85-4db3-b7b2-bb96148378f8,,,,,,v3,5045,5047,,"Traeger, Nolan",1000114306,Right,TCU_HFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
